[23-Mar-2015 14:50:27 UTC] PHP Fatal error:  Call to undefined method Categories_model::get_sports() in Z:\home\jeisport.local\www\application\controllers\admin\points.php on line 170
[23-Mar-2015 15:18:50 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 66
[23-Mar-2015 15:53:47 UTC] PHP Parse error:  syntax error, unexpected '<' in Z:\home\jeisport.local\www\application\controllers\admin\points.php on line 37
[24-Mar-2015 03:38:45 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:44:00 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:44:03 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:44:57 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:46:09 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:46:10 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:47:24 UTC] PHP Fatal error:  Can't use method return value in write context in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:48:13 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 4
[24-Mar-2015 03:48:17 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 5
[24-Mar-2015 03:48:19 UTC] PHP Fatal error:  Call to a member function create_links() on a non-object in Z:\home\jeisport.local\www\application\views\admin\pages\points\points.php on line 5
